reg.coeff,SE,t_val,p_val,species,vessel_id,fishery_lab,coeff_norm,rank_coeff
-13.02426872,23727.02333,-5.49E-04,0.999562051,Albatrosses,ETBF_57,Tuna longlines,-0.536828284,31
-11.84487106,10148.95133,-0.001167103,0.999068843,Albatrosses,ETBF_58,Tuna longlines,-0.488216417,56
-12.45108911,22047.55337,-5.65E-04,0.999549432,Albatrosses,ETBF_59,Tuna longlines,-0.513203232,43
16.91661161,1694.818635,0.00998137,0.992036632,Albatrosses,ETBF_60,Tuna longlines,0.484387918,81
-9.67013948,16748.87875,-5.77E-04,0.999539361,Albatrosses,ETBF_61,Tuna longlines,-0.398579337,78
-12.72118495,36321.2811,-3.50E-04,0.999720565,Albatrosses,ETBF_62,Tuna longlines,-0.524335918,39
-11.62799314,10247.54427,-0.00113471,0.999094687,Albatrosses,ETBF_63,Tuna longlines,-0.479277243,62
18.65425296,1694.818106,0.01100664,0.991218679,Albatrosses,ETBF_64,Tuna longlines,0.5341433,105
17.35664474,1694.817948,0.010241008,0.991829493,Albatrosses,ETBF_65,Tuna longlines,0.496987765,85
-12.20351343,8246.142848,-0.001479906,0.998819278,Albatrosses,ETBF_66,Tuna longlines,-0.502998772,47
21.9562812,1694.818412,0.012954946,0.989664361,Albatrosses,ETBF_67,Tuna longlines,0.62869312,132
21.00730439,1694.818073,0.01239502,0.990111055,Albatrosses,ETBF_68,Tuna longlines,0.601520249,131
-14.91193887,23854.3011,-6.25E-04,0.999501252,Albatrosses,ETBF_69,Tuna longlines,-0.6146334,6
-12.34545855,18093.76969,-6.82E-04,0.999455633,Albatrosses,ETBF_70,Tuna longlines,-0.508849401,46
-10.8191189,27107.53755,-3.99E-04,0.999681569,Albatrosses,ETBF_71,Tuna longlines,-0.445937439,73
-13.58193709,15810.05218,-8.59E-04,0.999314603,Albatrosses,ETBF_72,Tuna longlines,-0.559814002,26
-11.76991989,9571.128876,-0.001229732,0.999018876,Albatrosses,ETBF_73,Tuna longlines,-0.485127114,58
18.53676141,1694.817887,0.010937318,0.991273984,Albatrosses,ETBF_74,Tuna longlines,0.530779063,100
-13.88024067,10062.99371,-0.001379335,0.998899517,Albatrosses,ETBF_75,Tuna longlines,-0.57210934,19
-13.69499091,12241.54101,-0.001118731,0.999107436,Albatrosses,ETBF_76,Tuna longlines,-0.564473802,25
-9.678851663,22370.64327,-4.33E-04,0.999654809,Albatrosses,ETBF_77,Tuna longlines,-0.398938431,77
-14.05220337,27223.61487,-5.16E-04,0.999588175,Albatrosses,ETBF_78,Tuna longlines,-0.579197219,17
-11.27648027,7572.09853,-0.001489215,0.998811851,Albatrosses,ETBF_79,Tuna longlines,-0.464788749,67
-11.26036966,8126.077941,-0.001385708,0.998894432,Albatrosses,ETBF_80,Tuna longlines,-0.464124709,68
18.59606591,1694.818093,0.010972308,0.991246069,Albatrosses,ETBF_81,Tuna longlines,0.53247718,104
18.10197663,1694.81874,0.010680774,0.991478651,Albatrosses,ETBF_82,Tuna longlines,0.518329496,93
19.49268533,1694.817835,0.011501345,0.99082401,Albatrosses,ETBF_83,Tuna longlines,0.558150856,123
-13.42320595,5683.970045,-0.00236159,0.998115839,Albatrosses,ETBF_84,Tuna longlines,-0.553271495,28
18.5719938,1694.817845,0.010958106,0.991257399,Albatrosses,ETBF_85,Tuna longlines,0.531787902,103
-11.88928992,17316.88845,-6.87E-04,0.999452228,Albatrosses,ETBF_86,Tuna longlines,-0.490047253,54
-13.80952739,31497.61992,-4.38E-04,0.999650204,Albatrosses,ETBF_87,Tuna longlines,-0.569194713,22
-12.82405935,8913.856121,-0.001438666,0.99885218,Albatrosses,ETBF_88,Tuna longlines,-0.528576147,38
-12.51546957,27849.64761,-4.49E-04,0.999641457,Albatrosses,ETBF_89,Tuna longlines,-0.515856836,42
-14.66059725,16956.22142,-8.65E-04,0.999310179,Albatrosses,ETBF_90,Tuna longlines,-0.604273717,9
19.23662358,1694.818259,0.011350257,0.990944546,Albatrosses,ETBF_91,Tuna longlines,0.550818819,117
19.6848514,1694.817784,0.01161473,0.990733554,Albatrosses,ETBF_92,Tuna longlines,0.563653313,125
-15.08929747,15056.1483,-0.001002202,0.999200407,Albatrosses,ETBF_93,Tuna longlines,-0.621943684,3
20.75511248,1694.817747,0.012246221,0.990229763,Albatrosses,ETBF_94,Tuna longlines,0.594299021,130
19.86999345,1694.817799,0.01172397,0.990646404,Albatrosses,ETBF_95,Tuna longlines,0.568954645,126
-11.6624295,15204.75203,-7.67E-04,0.999388039,Albatrosses,ETBF_96,Tuna longlines,-0.480696625,60
-11.08881914,22013.22574,-5.04E-04,0.999598102,Albatrosses,ETBF_97,Tuna longlines,-0.457053819,71
-14.63966593,44542.54694,-3.29E-04,0.999737777,Albatrosses,ETBF_98,Tuna longlines,-0.60341098,10
-10.74781778,36109.58614,-2.98E-04,0.999762528,Albatrosses,ETBF_99,Tuna longlines,-0.442998582,75
-11.19148432,17718.56173,-6.32E-04,0.999496067,Albatrosses,ETBF_100,Tuna longlines,-0.461285425,69
18.55822534,1694.817913,0.010949982,0.99126388,Albatrosses,ETBF_101,Tuna longlines,0.531393658,102
-12.88084156,36315.42228,-3.55E-04,0.999717013,Albatrosses,ETBF_102,Tuna longlines,-0.53091657,36
18.31983092,1694.817828,0.010809322,0.991376098,Albatrosses,ETBF_103,Tuna longlines,0.524567505,98
20.40980176,1694.81806,0.012042474,0.990392308,Albatrosses,ETBF_104,Tuna longlines,0.584411441,129
17.81474204,1694.818416,0.010511298,0.991613858,Albatrosses,ETBF_105,Tuna longlines,0.51010486,87
-14.86359623,36391.42372,-4.08E-04,0.999674134,Albatrosses,ETBF_106,Tuna longlines,-0.612640835,7
19.60472615,1694.817843,0.011567453,0.99077127,Albatrosses,ETBF_107,Tuna longlines,0.561359018,124
18.97516855,1694.817873,0.011195993,0.991067616,Albatrosses,ETBF_108,Tuna longlines,0.543332352,113
-12.19300398,11482.15316,-0.001061909,0.99915277,Albatrosses,ETBF_109,Tuna longlines,-0.502565599,49
-11.4072022,8520.82573,-0.001338744,0.998931902,Albatrosses,ETBF_110,Tuna longlines,-0.470176784,65
-11.61286993,5580.742565,-0.002080883,0.998339797,Albatrosses,ETBF_111,Tuna longlines,-0.478653902,63
19.02408637,1694.817802,0.011224856,0.991044589,Albatrosses,ETBF_112,Tuna longlines,0.544733058,114
-13.82499011,10098.70915,-0.001368986,0.998907774,Albatrosses,ETBF_113,Tuna longlines,-0.569832049,21
-12.9770078,10161.81996,-0.001277036,0.998981135,Albatrosses,ETBF_114,Tuna longlines,-0.534880306,33
-12.16442596,36327.95469,-3.35E-04,0.999732844,Albatrosses,ETBF_115,Tuna longlines,-0.501387683,50
17.86751983,1694.817927,0.010542442,0.991589012,Albatrosses,ETBF_116,Tuna longlines,0.511616092,88
-10.80967385,7245.649024,-0.001491885,0.99880972,Albatrosses,ETBF_117,Tuna longlines,-0.445548137,74
17.9883065,1694.818462,0.010613707,0.991532157,Albatrosses,ETBF_118,Tuna longlines,0.515074681,89
-13.10554121,6478.016233,-0.002023079,0.998385915,Albatrosses,ETBF_119,Tuna longlines,-0.540178136,30
19.29014189,1694.817778,0.011381838,0.990919351,Albatrosses,ETBF_120,Tuna longlines,0.552351255,118
18.69335426,1694.817864,0.011029713,0.991200272,Albatrosses,ETBF_121,Tuna longlines,0.535262921,107
-11.35413596,31164.05116,-3.64E-04,0.999709321,Albatrosses,ETBF_122,Tuna longlines,-0.467989525,66
-14.27699701,25671.46286,-5.56E-04,0.999556289,Albatrosses,ETBF_123,Tuna longlines,-0.58846266,15
-11.95101774,12035.70664,-9.93E-04,0.999207778,Albatrosses,ETBF_124,Tuna longlines,-0.492591522,53
18.46389421,1694.818057,0.010894322,0.991308285,Albatrosses,ETBF_125,Tuna longlines,0.528692593,99
-11.87719644,21885.82718,-5.43E-04,0.999567023,Albatrosses,ETBF_126,Tuna longlines,-0.48954879,55
-11.02350284,20664.79342,-5.33E-04,0.999574399,Albatrosses,ETBF_127,Tuna longlines,-0.454361642,72
18.54635207,1694.818011,0.010942976,0.99126947,Albatrosses,ETBF_128,Tuna longlines,0.53105368,101
-12.59090569,17635.04364,-7.14E-04,0.999430368,Albatrosses,ETBF_129,Tuna longlines,-0.518966127,40
-12.43021851,14167.81622,-8.77E-04,0.999300014,Albatrosses,ETBF_130,Tuna longlines,-0.512342998,44
18.66942541,1694.818573,0.011015589,0.991211539,Albatrosses,ETBF_131,Tuna longlines,0.534577746,106
-15.0471194,17178.46758,-8.76E-04,0.999301152,Albatrosses,ETBF_132,Tuna longlines,-0.620205208,4
-9.14821086,20343.01175,-4.50E-04,0.999641215,Albatrosses,ETBF_133,Tuna longlines,-0.377066724,79
2.254976632,14.03004959,0.16072478,0.87231814,Shortfin makos,ETBF_1,Tuna longlines,0.064568689,107
1.709219461,14.03172129,0.121811104,0.903054627,Shortfin makos,ETBF_2,Tuna longlines,0.048941554,59
2.060001556,14.03007804,0.146827519,0.883275427,Shortfin makos,ETBF_3,Tuna longlines,0.0589858,90
