param,reg.coeff,SE,t_val,p_val,species,fishery,vessel_fctr_number,rank_coeff,coeff_norm,rank_coeff_norm,fishery_lab,signif
VESSEL_ID_CSIRO_F4,-0.341345519,0.498207838,-0.685146825,0.493276892,Pinnipeds,OTB,4,20,-0.125379223,20,Otter bottom trawl,No
VESSEL_ID_CSIRO_F5,-0.668856625,1.046822449,-0.638939894,0.52288564,Pinnipeds,OTB,5,12,-0.245676944,12,Otter bottom trawl,No
VESSEL_ID_CSIRO_F6,-0.337369474,1.153803353,-0.292397724,0.769992334,Pinnipeds,OTB,6,21,-0.123918787,21,Otter bottom trawl,No
VESSEL_ID_CSIRO_F7,-0.457036657,1.127889214,-0.405214139,0.685334096,Pinnipeds,OTB,7,17,-0.1678736,17,Otter bottom trawl,No
VESSEL_ID_CSIRO_F8,-0.789344892,0.68885519,-1.145879285,0.251889334,Pinnipeds,OTB,8,8,-0.289933349,8,Otter bottom trawl,No
VESSEL_ID_CSIRO_F9,-0.604591207,0.642206594,-0.941427904,0.346522303,Pinnipeds,OTB,9,15,-0.222071689,15,Otter bottom trawl,No
VESSEL_ID_CSIRO_F10,-0.408390532,1.127132735,-0.36232692,0.717120095,Pinnipeds,OTB,10,18,-0.150005448,18,Otter bottom trawl,No
VESSEL_ID_CSIRO_F11,-0.188968188,1.228427499,-0.153829337,0.877749308,Pinnipeds,OTB,11,25,-0.069409684,25,Otter bottom trawl,No
VESSEL_ID_CSIRO_F12,-0.23514826,1.197631488,-0.19634442,0.844347032,Pinnipeds,OTB,12,24,-0.086372032,24,Otter bottom trawl,No
VESSEL_ID_CSIRO_F13,-0.463696387,1.110523176,-0.41754769,0.676292309,Pinnipeds,OTB,13,16,-0.170319778,16,Otter bottom trawl,No
VESSEL_ID_CSIRO_F14,0.019815367,0.76833297,0.025790078,0.979425606,Pinnipeds,OTB,14,41,0.002890053,41,Otter bottom trawl,No
VESSEL_ID_CSIRO_F15,0.305493404,1.063103975,0.287359855,0.773846402,Pinnipeds,OTB,15,51,0.044555931,51,Otter bottom trawl,No
VESSEL_ID_CSIRO_F16,2.104145704,0.70823117,2.970987147,0.002979834,Pinnipeds,OTB,16,65,0.3068877120683365,65,Otter bottom trawl,Yes
VESSEL_ID_CSIRO_F17,-0.108908851,0.954239922,-0.114131518,0.909137234,Pinnipeds,OTB,17,30,-0.040003183,30,Otter bottom trawl,No
VESSEL_ID_CSIRO_F18,-0.62043509,0.427216419,-1.452273513,0.146476178,Pinnipeds,OTB,18,14,-0.227891287,14,Otter bottom trawl,No
VESSEL_ID_CSIRO_F19,-0.065259165,1.281510338,-0.050923635,0.959388012,Pinnipeds,OTB,19,32,-0.023970268,32,Otter bottom trawl,No
VESSEL_ID_CSIRO_F20,-0.882397564,0.57300605338630906,-1.539944576,0.123624903,Pinnipeds,OTB,20,5,-0.324112417,5,Otter bottom trawl,No
VESSEL_ID_CSIRO_F21,0.03875201,1.346021662,0.028790034,0.977032976,Pinnipeds,OTB,21,44,0.005651945,44,Otter bottom trawl,No
VESSEL_ID_CSIRO_F22,0.129734488,0.742335192,0.174765375,0.861269703,Pinnipeds,OTB,22,47,0.018921656,47,Otter bottom trawl,No
VESSEL_ID_CSIRO_F23,0.820536911,0.459617103,1.785261919,0.074267718,Pinnipeds,OTB,23,55,0.119674552,55,Otter bottom trawl,No
VESSEL_ID_CSIRO_F24,-0.831207268,0.731218493,-1.136742679,0.255689811,Pinnipeds,OTB,24,6,-0.305309769,6,Otter bottom trawl,No
VESSEL_ID_CSIRO_F25,-0.023277214,1.306180945,-0.017820819,0.98578237,Pinnipeds,OTB,25,36,-0.008549926,36,Otter bottom trawl,No
VESSEL_ID_CSIRO_F26,-1.304669732,0.677674783,-1.925215108,0.05424815,Pinnipeds,OTB,26,2,-0.479216713,2,Otter bottom trawl,No
VESSEL_ID_CSIRO_F27,0.02234444,1.335060645,0.016736648,0.986647249,Pinnipeds,OTB,27,42,0.003258916,42,Otter bottom trawl,No
VESSEL_ID_CSIRO_F28,6.83849767827044e-4,1.32103576,5.17661814015358e-4,0.999586982,Pinnipeds,OTB,28,39,9.973885848443291e-5,39,Otter bottom trawl,No
VESSEL_ID_CSIRO_F29,0.290246361,0.888107983,0.326814269,0.7438194,Pinnipeds,OTB,29,50,0.042332164,50,Otter bottom trawl,No
VESSEL_ID_CSIRO_F30,0.961875559,0.516461768,1.862433232,0.062589321,Pinnipeds,OTB,30,56,0.14028866390337888,56,Otter bottom trawl,No
VESSEL_ID_CSIRO_F31,0.715169852,0.342931067,2.085462418,0.037068147,Pinnipeds,OTB,31,52,0.1043068638507538,52,Otter bottom trawl,Yes
VESSEL_ID_CSIRO_F32,-0.715479089,0.73828751,-0.969106316,0.332529954,Pinnipeds,OTB,32,11,-0.262801787,11,Otter bottom trawl,No
VESSEL_ID_CSIRO_F33,0.220765759,0.773493292,0.285413928,0.775336573,Pinnipeds,OTB,33,48,0.032198482,48,Otter bottom trawl,No
VESSEL_ID_CSIRO_F34,-0.406904878,0.902876615,-0.450676062,0.652238799,Pinnipeds,OTB,34,19,-0.149459755,19,Otter bottom trawl,No
VESSEL_ID_CSIRO_F35,-0.783926536,1.008271197,-0.777495716,0.43689603,Pinnipeds,OTB,35,9,-0.287943139,9,Otter bottom trawl,No
VESSEL_ID_CSIRO_F36,0.766961852,0.464073752,1.652672337,0.098448207,Pinnipeds,OTB,36,53,0.1118606794471588,53,Otter bottom trawl,No
VESSEL_ID_CSIRO_F37,-2.722504655,0.732967913,-3.714357213,2.05511468651801e-4,Pinnipeds,OTB,37,1,-1,1,Otter bottom trawl,Yes
VESSEL_ID_CSIRO_F38,1.707204356,0.393974979,4.333281164,1.49224092234202e-5,Pinnipeds,OTB,38,63,0.2489941821119271,63,Otter bottom trawl,Yes
VESSEL_ID_CSIRO_F39,0.025819287,1.337357859,0.019306191,0.984597466,Pinnipeds,OTB,39,43,0.003765719,43,Otter bottom trawl,No
VESSEL_ID_CSIRO_F40,-0.012785818,1.312583216,-0.009740958,0.992228276,Pinnipeds,OTB,40,37,-0.004696344,37,Otter bottom trawl,No
VESSEL_ID_CSIRO_F41,-0.186413962,1.21839093,-0.153000123,0.878403158,Pinnipeds,OTB,41,26,-0.068471494,26,Otter bottom trawl,No
VESSEL_ID_CSIRO_F42,1.232370572,0.504167159,2.444368994,0.014538244,Pinnipeds,OTB,42,59,0.17974011233664822,59,Otter bottom trawl,Yes
VESSEL_ID_CSIRO_F43,0.038850231,1.346087516,0.028861594,0.976975906,Pinnipeds,OTB,43,45,0.00566627,45,Otter bottom trawl,No
VESSEL_ID_CSIRO_F44,-0.888804117,0.858046204,-1.035846453,0.300314186,Pinnipeds,OTB,44,4,-0.3264656,4,Otter bottom trawl,No
VESSEL_ID_CSIRO_F45,-0.099858576,1.264654211,-0.07896117,0.937066057,Pinnipeds,OTB,45,31,-0.036678937,31,Otter bottom trawl,No
VESSEL_ID_CSIRO_F46,-1.070112566,0.951263886,-1.124937656,0.260659007,Pinnipeds,OTB,46,3,-0.393061795,3,Otter bottom trawl,No
VESSEL_ID_CSIRO_F47,-0.826215043,0.747559109,-1.105217009,0.26910846,Pinnipeds,OTB,47,7,-0.303476081,7,Otter bottom trawl,No
VESSEL_ID_CSIRO_F48,1.585885024,0.62149201,2.551738393,0.010742485,Pinnipeds,OTB,48,62,0.23129986941502745,62,Otter bottom trawl,Yes
VESSEL_ID_CSIRO_F49,1.360070278,0.384365412,3.53848248,4.05381906931129e-4,Pinnipeds,OTB,49,61,0.19836499675029856,61,Otter bottom trawl,Yes
VESSEL_ID_CSIRO_F50,-0.624250059,1.083026536,-0.576394057,0.564369787,Pinnipeds,OTB,50,13,-0.229292559,13,Otter bottom trawl,No
VESSEL_ID_CSIRO_F51,-0.037633985,1.297743844,-0.028999548,0.976865885,Pinnipeds,OTB,51,34,-0.013823295,34,Otter bottom trawl,No
VESSEL_ID_CSIRO_F52,0.78308414,1.085516711,0.72139298447215106,0.470694967,Pinnipeds,OTB,52,54,0.11421210023248891,54,Otter bottom trawl,No
VESSEL_ID_CSIRO_F53,-0.149460328,1.24435508,-0.120110674,0.904399369,Pinnipeds,OTB,53,27,-0.054898098,27,Otter bottom trawl,No
VESSEL_ID_CSIRO_F54,0.015763868,1.330737567,0.011845963,0.990548892,Pinnipeds,OTB,54,40,0.002299146,40,Otter bottom trawl,No
VESSEL_ID_CSIRO_F55,1.075285841,0.556853976,1.931001461,0.053528413,Pinnipeds,OTB,55,58,0.15682944912716815,58,Otter bottom trawl,No
VESSEL_ID_CSIRO_F56,1.939002675,0.602824647,3.21652853,0.001304181,Pinnipeds,OTB,56,64,0.2828017533514666,64,Otter bottom trawl,Yes
VESSEL_ID_CSIRO_F57,-0.243309654,1.002795872,-0.242631288,0.808299068,Pinnipeds,OTB,57,23,-0.089369784,23,Otter bottom trawl,No
VESSEL_ID_CSIRO_F58,0.04192446,0.524536985,0.079926605,0.93629821,Pinnipeds,OTB,58,46,0.006114644,46,Otter bottom trawl,No
VESSEL_ID_CSIRO_F59,0.968118552,0.553975742,1.747582933,0.080585783,Pinnipeds,OTB,59,57,0.14119919876427697,57,Otter bottom trawl,No
VESSEL_ID_CSIRO_F60,-0.298840824,1.174279051,-0.254488763,0.799126425,Pinnipeds,OTB,60,22,-0.109766873,22,Otter bottom trawl,No
VESSEL_ID_CSIRO_F61,-0.729284061,1.086617912,-0.671150413,0.50214972,Pinnipeds,OTB,61,10,-0.267872475,10,Otter bottom trawl,No
VESSEL_ID_CSIRO_F62,-0.124168652,1.250163648,-0.099321918,0.920885888,Pinnipeds,OTB,62,29,-0.045608242,29,Otter bottom trawl,No
VESSEL_ID_CSIRO_F63,-0.024634984,1.305445265,-0.018870943,0.984944666,Pinnipeds,OTB,63,35,-0.009048647,35,Otter bottom trawl,No
VESSEL_ID_CSIRO_F64,0.255389062,0.984570989,0.259391212,0.795342023,Pinnipeds,OTB,64,49,0.037248259,49,Otter bottom trawl,No
VESSEL_ID_CSIRO_F65,-0.008679449,1.315170089,-0.006599488,0.994734621,Pinnipeds,OTB,65,38,-0.003188038,38,Otter bottom trawl,No
VESSEL_ID_CSIRO_F66,-0.126701305,1.248271077,-0.101501434,0.919155702,Pinnipeds,OTB,66,28,-0.046538508,28,Otter bottom trawl,No
