fishery_lab,species,rank_coeff,coeff_norm,reg.coeff,t_val,p_val,SE
Tuna longlines,Albatrosses,83,0.4928804873153746,17.2132034519433,0.0101563736110647,0.991897014571544,1694.81786621069
Tuna longlines,Albatrosses,90,0.5155273639110459,18.004115862608302,0.0106230320846011,0.991524717548091,1694.818929212
Tuna longlines,Albatrosses,116,0.5484161854160818,19.1527147429259,0.0113007516802672,0.990984040675536,1694.81776830557
Tuna longlines,Albatrosses,57,-0.4867041685263034,-11.8081816130355,-3.93395421116451e-4,0.99968613481341,30016.0626667285
Tuna longlines,Albatrosses,108,0.5360081216743929,18.7193794189943,0.0110450646667389,0.991188024351156,1694.81845365432
Tuna longlines,Albatrosses,51,-0.49908819004822497,-12.1086367656457,-6.25990421406516e-4,0.999500562075444,19343.1662076222
Tuna longlines,Albatrosses,115,0.5460233338544492,19.069147545967,0.01125144305633,0.991023378389976,1694.81794028533
Tuna longlines,Albatrosses,29,-0.549279788165357,-13.3263610925405,-4.72687643965227e-4,0.999622872596096,28192.7426339091
Tuna longlines,Albatrosses,119,0.5525902121330843,19.2984871420017,0.0113867575878421,0.990915426445975,1694.81847603458
Tuna longlines,Albatrosses,82,0.49000563692808263,17.112803079269,0.0100971337795179,0.991944275842703,1694.8179010941
Tuna longlines,Albatrosses,122,0.5568108327332836,19.4458867712311,0.0114737324622635,0.990846039257479,1694.81786639069
Tuna longlines,Albatrosses,109,0.5386224067983367,18.810679892188,0.0110989378570267,0.991145044992972,1694.81802083242
Tuna longlines,Albatrosses,96,0.5233925365994201,18.2787966851482,0.0107851099565987,0.991395413328623,1694.81783298506
Tuna longlines,Albatrosses,45,-0.5122421363950787,-12.4277714627289,-8.43453408308327e-4,0.99932706223153,14734.3899974921
Tuna longlines,Albatrosses,128,0.5718192603310436,19.9700363863663,0.0117829916465666,0.990599317703088,1694.81885291714
Tuna longlines,Albatrosses,32,-0.5353018372842874,-12.987234795181,-7.8419773403829e-4,0.999374338550927,16561.1735809311
Tuna longlines,Albatrosses,27,-0.5567627172612089,-13.5079083063826,-0.00106269235871873,0.999152145491878,12711.0242165183
Tuna longlines,Albatrosses,84,0.49493193621764364,17.2848476095734,0.0101986393007495,0.991863295211791,1694.81899495191
Tuna longlines,Albatrosses,8,-0.6077984802258467,-14.7461133533437,-7.32750778330547e-4,0.999415384794109,20124.3230159923
Tuna longlines,Albatrosses,110,0.5387459266178685,18.8149936595995,0.0111014847685319,0.991143013099426,1694.81777004569
Tuna longlines,Albatrosses,94,0.5201805154543123,18.1666210667466,0.0107189212578171,0.991448218030047,1694.81803530352
Tuna longlines,Albatrosses,80,0.4668372849573895,16.3036788262681,0.00961972186543452,0.992325153938377,1694.81810953914
Tuna longlines,Albatrosses,112,0.54217908061366,18.9348920522774,0.0111722281219363,0.991086574976524,1694.81788642495
Tuna longlines,Albatrosses,121,0.5545441957369684,19.3667274521398,0.0114270258815069,0.990883301025301,1694.8178513783
Tuna longlines,Albatrosses,18,-0.5746524168400226,-13.9419395625128,-3.13354181327447e-4,0.999749994625663,44492.5914294531
Tuna longlines,Albatrosses,35,-0.531085402517372,-12.8849376900668,-5.02521526616831e-4,0.999599070040778,25640.5686276032
Tuna longlines,Albatrosses,13,-0.5947306906575686,-14.4290689504359,-2.29000331318179e-4,0.999817295196928,63008.9435564516
Tuna longlines,Albatrosses,41,-0.5185321882192921,-12.5803776639879,-4.47647371392467e-4,0.999642850635421,28103.3207563689
Tuna longlines,Albatrosses,16,-0.5846127443828704,-14.1835922216782,-4.89058712619372e-4,0.999609811162789,29001.8189139533
Tuna longlines,Albatrosses,2,-0.6429836973599282,-15.5997601081503,-4.29725952135096e-4,0.999657148995038,36301.6476678748
Tuna longlines,Albatrosses,127,0.5707624985167689,19.9331303684218,0.0117612180920142,0.990616688233959,1694.81853091018
Tuna longlines,Albatrosses,20,-0.5700623999244305,-13.8305787876291,-6.57190009353111e-4,0.999475669912996,21045.0228865209
Tuna longlines,Albatrosses,91,0.5169894672504772,18.0551779007638,0.0106531672050484,0.991500676012205,1694.81784649055
Tuna longlines,Albatrosses,111,0.5397892563220478,18.8514305787466,0.0111229790716945,0.99112586522054,1694.81848857553
Tuna longlines,Albatrosses,92,0.5175267774083858,18.0739427520876,0.0106642351019093,0.991491846142696,1694.81848246684
Tuna longlines,Albatrosses,76,-0.41841268064497333,-10.1513264971879,-8.41589188161976e-4,0.999328549573731,12062.0923367116
Tuna longlines,Albatrosses,97,0.523672833052185,18.2885856704955,0.0107908850809216,0.99139080599228,1694.81794434359
Tuna longlines,Albatrosses,12,-0.6004099493809724,-14.5668563843024,-2.31187123008627e-4,0.99981555049492,63008.9435550386
Tuna longlines,Albatrosses,86,0.5045109007195574,17.6193803595479,0.0103960320069695,0.991705816473227,1694.81782546801
Tuna longlines,Albatrosses,1,-0.6486254624814518,-15.7366378903455,-7.16274619557558e-4,0.9994285300702,21970.1179696497
Tuna longlines,Albatrosses,5,-0.6195483143915136,-15.0311821584278,-0.00110869068564922,0.999115446373001,13557.5975815346
Tuna longlines,Albatrosses,52,-0.49684706278727503,-12.0542636177942,-0.00297510313438691,0.997626357866624,4051.71285609172
Tuna longlines,Albatrosses,59,-0.4808643949354743,-11.6664998449333,-2.6180621609628e-4,0.99979112146803,44561.5845906536
Tuna longlines,Albatrosses,23,-0.5655028732835533,-13.7199577530734,-3.13861237120617e-4,0.999749590078104,43713.4508196718
Tuna longlines,Albatrosses,24,-0.5652141987032233,-13.7129540697437,-0.00141398989743695,0.998871867737395,9698.05660889111
